2022-11-15 14:37:04 INFO  User 'Alice' is requesting the use of service 'start'
2022-11-15 14:37:05 INFO  User 'Alice' with role 'manager' is allowed to use service 'start'
2022-11-15 14:37:35 INFO  Failed authentication request for username: 'Alice'
2022-11-15 14:38:14 INFO  Failed authentication request for username: 'Alice'
2022-11-15 14:38:47 INFO  User 'Alice' authenticate successfully
2022-11-15 14:38:47 INFO  User 'Alice' is requesting the use of service 'start'
2022-11-15 14:38:47 INFO  User 'Alice' with role 'manager' is allowed to use service 'start'
2022-11-15 14:38:48 INFO  User 'George' authenticate successfully
2022-11-15 14:38:48 INFO  User 'George' is requesting the use of service 'print'
2022-11-15 14:38:48 INFO  User 'George' with role 'ordinary_user&service_tech' is allowed to use service 'print'
2022-11-15 14:38:48 INFO  printer1-file_George has been added to the printing queue
2022-11-15 14:38:48 INFO  User 'George' is requesting the use of service 'status'
2022-11-15 14:38:49 INFO  User 'George' with role 'ordinary_user&service_tech' is allowed to use service 'status'
2022-11-15 14:38:49 INFO  printer1-There are 1 tasks in the Queue
2022-11-15 14:38:49 INFO  User 'Henry' authenticate successfully
2022-11-15 14:38:49 INFO  User 'Henry' is requesting the use of service 'print'
2022-11-15 14:38:50 INFO  User 'Henry' with role 'ordinary_user' is allowed to use service 'print'
2022-11-15 14:38:50 INFO  printer1-file_Henry has been added to the printing queue
2022-11-15 14:38:50 INFO  User 'Henry' is requesting the use of service 'stop'
2022-11-15 14:38:50 INFO  User 'Henry' with role 'ordinary_user' is forbidden to use service 'stop'
2022-11-15 14:38:51 INFO  User 'Ida' authenticate successfully
2022-11-15 14:38:51 INFO  User 'Ida' is requesting the use of service 'print'
2022-11-15 14:38:51 INFO  User 'Ida' with role 'power_user' is allowed to use service 'print'
2022-11-15 14:38:51 INFO  printer1-file_Ida has been added to the printing queue
2022-11-15 14:38:51 INFO  User 'Ida' is requesting the use of service 'restart'
2022-11-15 14:38:52 INFO  User 'Ida' with role 'power_user' is allowed to use service 'restart'
2022-11-15 14:38:52 INFO  printer1-The Queue is cleared
2022-11-15 14:38:52 INFO  printer2-The Queue is cleared
2022-11-15 14:40:23 INFO  User 'Alice' authenticate successfully
2022-11-15 14:40:23 INFO  User 'Alice' is requesting the use of service 'start'
2022-11-15 14:40:24 INFO  User 'Alice' with role 'manager' is allowed to use service 'start'
2022-11-15 14:40:43 INFO  User 'Alice' authenticate successfully
2022-11-15 14:40:43 INFO  User 'Alice' is requesting the use of service 'start'
2022-11-15 14:40:43 INFO  User 'Alice' with role 'manager' is allowed to use service 'start'
2022-11-15 14:40:44 INFO  User 'George' authenticate successfully
2022-11-15 14:40:44 INFO  User 'George' is requesting the use of service 'print'
2022-11-15 14:40:44 INFO  User 'George' with role 'ordinary_user&service_tech' is allowed to use service 'print'
2022-11-15 14:40:44 INFO  printer1-file_George has been added to the printing queue
2022-11-15 14:40:44 INFO  User 'George' is requesting the use of service 'status'
2022-11-15 14:40:45 INFO  User 'George' with role 'ordinary_user&service_tech' is allowed to use service 'status'
2022-11-15 14:40:45 INFO  printer1-There are 1 tasks in the Queue
2022-11-15 14:40:46 INFO  User 'Henry' authenticate successfully
2022-11-15 14:40:46 INFO  User 'Henry' is requesting the use of service 'print'
2022-11-15 14:40:46 INFO  User 'Henry' with role 'ordinary_user' is allowed to use service 'print'
